SampleID	accession	DenoiseBatch	AmpliconRegion	PrimerSet
 SAMEA7016816	ERR4296609	PRJEB39064	V3-V4	V3-V4
 SAMEA7016817	ERR4296610	PRJEB39064	V3-V4	V3-V4
 SAMEA7016818	ERR4296611	PRJEB39064	V3-V4	V3-V4
 SAMEA7016819	ERR4296612	PRJEB39064	V3-V4	V3-V4
 SAMEA7016820	ERR4296613	PRJEB39064	V3-V4	V3-V4
 SAMEA7016821	ERR4296614	PRJEB39064	V3-V4	V3-V4
 SAMEA7016822	ERR4296615	PRJEB39064	V3-V4	V3-V4
 SAMEA7016823	ERR4296616	PRJEB39064	V3-V4	V3-V4
 SAMEA7016824	ERR4296617	PRJEB39064	V3-V4	V3-V4
 SAMEA7016825	ERR4296618	PRJEB39064	V3-V4	V3-V4
 SAMEA7016826	ERR4296619	PRJEB39064	V3-V4	V3-V4
 SAMEA7016827	ERR4296620	PRJEB39064	V3-V4	V3-V4
 SAMEA7016828	ERR4296621	PRJEB39064	V3-V4	V3-V4
 SAMEA7016829	ERR4296622	PRJEB39064	V3-V4	V3-V4
 SAMEA7016830	ERR4296623	PRJEB39064	V3-V4	V3-V4
 SAMEA7016831	ERR4296624	PRJEB39064	V3-V4	V3-V4
 SAMEA7016832	ERR4296625	PRJEB39064	V3-V4	V3-V4
 SAMEA7016833	ERR4296626	PRJEB39064	V3-V4	V3-V4
 SAMEA7016834	ERR4296627	PRJEB39064	V3-V4	V3-V4
 SAMEA7016835	ERR4296628	PRJEB39064	V3-V4	V3-V4
 SAMEA7016836	ERR4296629	PRJEB39064	V3-V4	V3-V4
 SAMEA7016837	ERR4296630	PRJEB39064	V3-V4	V3-V4
 SAMEA7016838	ERR4296631	PRJEB39064	V3-V4	V3-V4
 SAMEA7016839	ERR4296632	PRJEB39064	V3-V4	V3-V4
 SAMEA7016840	ERR4296633	PRJEB39064	V3-V4	V3-V4
 SAMEA7016841	ERR4296634	PRJEB39064	V3-V4	V3-V4
 SAMEA7016842	ERR4296635	PRJEB39064	V3-V4	V3-V4
 SAMEA7016864	ERR4296657	PRJEB39064	V3-V4	V3-V4
 SAMEA7016865	ERR4296658	PRJEB39064	V3-V4	V3-V4
 SAMEA7016866	ERR4296659	PRJEB39064	V3-V4	V3-V4
 SAMEA7016867	ERR4296660	PRJEB39064	V3-V4	V3-V4
 SAMEA7016868	ERR4296661	PRJEB39064	V3-V4	V3-V4
 SAMEA7016869	ERR4296662	PRJEB39064	V3-V4	V3-V4
 SAMEA7016870	ERR4296663	PRJEB39064	V3-V4	V3-V4
 SAMEA7016871	ERR4296664	PRJEB39064	V3-V4	V3-V4
 SAMEA7016872	ERR4296665	PRJEB39064	V3-V4	V3-V4
 SAMEA7016873	ERR4296666	PRJEB39064	V3-V4	V3-V4
 SAMEA7016874	ERR4296667	PRJEB39064	V3-V4	V3-V4
 SAMEA7016875	ERR4296668	PRJEB39064	V3-V4	V3-V4
 SAMEA7016876	ERR4296669	PRJEB39064	V3-V4	V3-V4
 SAMEA7016877	ERR4296670	PRJEB39064	V3-V4	V3-V4
 SAMEA7016878	ERR4296671	PRJEB39064	V3-V4	V3-V4
 SAMEA7016879	ERR4296672	PRJEB39064	V3-V4	V3-V4
 SAMEA7016880	ERR4296673	PRJEB39064	V3-V4	V3-V4
 SAMEA7016881	ERR4296674	PRJEB39064	V3-V4	V3-V4
 SAMEA7016882	ERR4296675	PRJEB39064	V3-V4	V3-V4
 SAMEA7016883	ERR4296676	PRJEB39064	V3-V4	V3-V4
 SAMEA7016884	ERR4296677	PRJEB39064	V3-V4	V3-V4
 SAMEA7016885	ERR4296678	PRJEB39064	V3-V4	V3-V4
 SAMEA7016886	ERR4296679	PRJEB39064	V3-V4	V3-V4
 SAMEA7016887	ERR4296680	PRJEB39064	V3-V4	V3-V4
 SAMEA7016888	ERR4296681	PRJEB39064	V3-V4	V3-V4
 SAMEA7016889	ERR4296682	PRJEB39064	V3-V4	V3-V4
 SAMEA7016890	ERR4296683	PRJEB39064	V3-V4	V3-V4
 SAMN12033517	SRR9277638	PRJNA548462	V3-V4	V3-V4
 SAMN12033518	SRR9277667	PRJNA548462	V3-V4	V3-V4
 SAMN12033519	SRR9277666	PRJNA548462	V3-V4	V3-V4
 SAMN12033520	SRR9277665	PRJNA548462	V3-V4	V3-V4
 SAMN12033521	SRR9277642	PRJNA548462	V3-V4	V3-V4
 SAMN12033522	SRR9277641	PRJNA548462	V3-V4	V3-V4
 SAMN12033523	SRR9277640	PRJNA548462	V3-V4	V3-V4
 SAMN12033524	SRR9277639	PRJNA548462	V3-V4	V3-V4
 SAMN12033525	SRR9277664	PRJNA548462	V3-V4	V3-V4
 SAMN12033526	SRR9277663	PRJNA548462	V3-V4	V3-V4
 SAMN12033537	SRR9277659	PRJNA548462	V3-V4	V3-V4
 SAMN12033538	SRR9277660	PRJNA548462	V3-V4	V3-V4
 SAMN12033539	SRR9277661	PRJNA548462	V3-V4	V3-V4
 SAMN12033540	SRR9277662	PRJNA548462	V3-V4	V3-V4
 SAMN12033541	SRR9277655	PRJNA548462	V3-V4	V3-V4
 SAMN12033542	SRR9277656	PRJNA548462	V3-V4	V3-V4
 SAMN12033543	SRR9277657	PRJNA548462	V3-V4	V3-V4
 SAMN12033544	SRR9277658	PRJNA548462	V3-V4	V3-V4
 SAMN12033545	SRR9277653	PRJNA548462	V3-V4	V3-V4
 SAMN12033546	SRR9277654	PRJNA548462	V3-V4	V3-V4
 SAMN37294875	SRR25921306	PRJNA1013236	V3-V4	V3-V4
 SAMN37294876	SRR25921305	PRJNA1013236	V3-V4	V3-V4
 SAMN37294877	SRR25921209	PRJNA1013236	V3-V4	V3-V4
 SAMN37294878	SRR25921034	PRJNA1013236	V3-V4	V3-V4
 SAMN37294879	SRR25921110	PRJNA1013236	V3-V4	V3-V4
 SAMN37294880	SRR25921099	PRJNA1013236	V3-V4	V3-V4
 SAMN37294881	SRR25921024	PRJNA1013236	V3-V4	V3-V4
 SAMN37294882	SRR25921013	PRJNA1013236	V3-V4	V3-V4
 SAMN37294883	SRR25921002	PRJNA1013236	V3-V4	V3-V4
 SAMN37294884	SRR25921264	PRJNA1013236	V3-V4	V3-V4
 SAMN37294885	SRR25921304	PRJNA1013236	V3-V4	V3-V4
 SAMN37294886	SRR25921293	PRJNA1013236	V3-V4	V3-V4
 SAMN37294887	SRR25921282	PRJNA1013236	V3-V4	V3-V4
 SAMN37294888	SRR25921271	PRJNA1013236	V3-V4	V3-V4
 SAMN37294889	SRR25921243	PRJNA1013236	V3-V4	V3-V4
 SAMN37294890	SRR25921232	PRJNA1013236	V3-V4	V3-V4
 SAMN37294891	SRR25921157	PRJNA1013236	V3-V4	V3-V4
 SAMN37294892	SRR25921146	PRJNA1013236	V3-V4	V3-V4
 SAMN37294893	SRR25921135	PRJNA1013236	V3-V4	V3-V4
 SAMN37294894	SRR25921220	PRJNA1013236	V3-V4	V3-V4
 SAMN37294895	SRR25921208	PRJNA1013236	V3-V4	V3-V4
 SAMN37294896	SRR25921197	PRJNA1013236	V3-V4	V3-V4
 SAMN37294897	SRR25921090	PRJNA1013236	V3-V4	V3-V4
 SAMN37294898	SRR25921079	PRJNA1013236	V3-V4	V3-V4
 SAMN37294899	SRR25921068	PRJNA1013236	V3-V4	V3-V4
 SAMN37294900	SRR25921185	PRJNA1013236	V3-V4	V3-V4
 SAMN37294901	SRR25921174	PRJNA1013236	V3-V4	V3-V4
 SAMN37294902	SRR25921163	PRJNA1013236	V3-V4	V3-V4
 SAMN37294903	SRR25921056	PRJNA1013236	V3-V4	V3-V4
 SAMN37294904	SRR25921045	PRJNA1013236	V3-V4	V3-V4
 SAMN37294905	SRR25921033	PRJNA1013236	V3-V4	V3-V4
 SAMN37294906	SRR25921119	PRJNA1013236	V3-V4	V3-V4
 SAMN37294907	SRR25921118	PRJNA1013236	V3-V4	V3-V4
 SAMN37294908	SRR25921117	PRJNA1013236	V3-V4	V3-V4
 SAMN37294909	SRR25921116	PRJNA1013236	V3-V4	V3-V4
 SAMN37294910	SRR25921115	PRJNA1013236	V3-V4	V3-V4
 SAMN37294911	SRR25921114	PRJNA1013236	V3-V4	V3-V4
 SAMN37294912	SRR25921113	PRJNA1013236	V3-V4	V3-V4
 SAMN37294913	SRR25921112	PRJNA1013236	V3-V4	V3-V4
 SAMN37294914	SRR25921111	PRJNA1013236	V3-V4	V3-V4
 SAMN37294915	SRR25921109	PRJNA1013236	V3-V4	V3-V4
 SAMN37294916	SRR25921108	PRJNA1013236	V3-V4	V3-V4
 SAMN37294917	SRR25921107	PRJNA1013236	V3-V4	V3-V4
 SAMN37294918	SRR25921106	PRJNA1013236	V3-V4	V3-V4
 SAMN37294919	SRR25921105	PRJNA1013236	V3-V4	V3-V4
 SAMN37294920	SRR25921104	PRJNA1013236	V3-V4	V3-V4
 SAMN37294921	SRR25921103	PRJNA1013236	V3-V4	V3-V4
 SAMN37294922	SRR25921102	PRJNA1013236	V3-V4	V3-V4
 SAMN37294923	SRR25921101	PRJNA1013236	V3-V4	V3-V4
 SAMN37294924	SRR25921100	PRJNA1013236	V3-V4	V3-V4
 SAMN37294925	SRR25921098	PRJNA1013236	V3-V4	V3-V4
 SAMN37294926	SRR25921097	PRJNA1013236	V3-V4	V3-V4
 SAMN37294927	SRR25921096	PRJNA1013236	V3-V4	V3-V4
 SAMN37294928	SRR25921095	PRJNA1013236	V3-V4	V3-V4
 SAMN37294929	SRR25921094	PRJNA1013236	V3-V4	V3-V4
 SAMN37294930	SRR25921029	PRJNA1013236	V3-V4	V3-V4
 SAMN37294931	SRR25921028	PRJNA1013236	V3-V4	V3-V4
 SAMN37294932	SRR25921027	PRJNA1013236	V3-V4	V3-V4
 SAMN37294933	SRR25921026	PRJNA1013236	V3-V4	V3-V4
 SAMN37294934	SRR25921025	PRJNA1013236	V3-V4	V3-V4
 SAMN37294935	SRR25921023	PRJNA1013236	V3-V4	V3-V4
 SAMN37294936	SRR25921022	PRJNA1013236	V3-V4	V3-V4
 SAMN37294937	SRR25921021	PRJNA1013236	V3-V4	V3-V4
 SAMN37294938	SRR25921020	PRJNA1013236	V3-V4	V3-V4
 SAMN37294939	SRR25921019	PRJNA1013236	V3-V4	V3-V4
 SAMN37294940	SRR25921018	PRJNA1013236	V3-V4	V3-V4
 SAMN37294941	SRR25921017	PRJNA1013236	V3-V4	V3-V4
 SAMN37294942	SRR25921016	PRJNA1013236	V3-V4	V3-V4
 SAMN37294943	SRR25921015	PRJNA1013236	V3-V4	V3-V4
 SAMN37294944	SRR25921014	PRJNA1013236	V3-V4	V3-V4
 SAMN37294945	SRR25921012	PRJNA1013236	V3-V4	V3-V4
 SAMN37294946	SRR25921011	PRJNA1013236	V3-V4	V3-V4
 SAMN37294947	SRR25921010	PRJNA1013236	V3-V4	V3-V4
 SAMN37294948	SRR25921009	PRJNA1013236	V3-V4	V3-V4
 SAMN37294949	SRR25921008	PRJNA1013236	V3-V4	V3-V4
 SAMN37294950	SRR25921007	PRJNA1013236	V3-V4	V3-V4
 SAMN37294951	SRR25921006	PRJNA1013236	V3-V4	V3-V4
 SAMN37294952	SRR25921005	PRJNA1013236	V3-V4	V3-V4
 SAMN37294953	SRR25921004	PRJNA1013236	V3-V4	V3-V4
 SAMN37294954	SRR25921003	PRJNA1013236	V3-V4	V3-V4
 SAMN37294955	SRR25921001	PRJNA1013236	V3-V4	V3-V4
 SAMN37294956	SRR25921000	PRJNA1013236	V3-V4	V3-V4
 SAMN37294957	SRR25920999	PRJNA1013236	V3-V4	V3-V4
 SAMN37294958	SRR25920998	PRJNA1013236	V3-V4	V3-V4
 SAMN37294959	SRR25921270	PRJNA1013236	V3-V4	V3-V4
 SAMN37294960	SRR25921269	PRJNA1013236	V3-V4	V3-V4
 SAMN37294961	SRR25921268	PRJNA1013236	V3-V4	V3-V4
 SAMN37294962	SRR25921267	PRJNA1013236	V3-V4	V3-V4
 SAMN37294963	SRR25921266	PRJNA1013236	V3-V4	V3-V4
 SAMN37294964	SRR25921265	PRJNA1013236	V3-V4	V3-V4
 SAMN37294965	SRR25921263	PRJNA1013236	V3-V4	V3-V4
 SAMN37294966	SRR25921262	PRJNA1013236	V3-V4	V3-V4
 SAMN37294967	SRR25921261	PRJNA1013236	V3-V4	V3-V4
 SAMN37294968	SRR25921260	PRJNA1013236	V3-V4	V3-V4
 SAMN37294969	SRR25921259	PRJNA1013236	V3-V4	V3-V4
 SAMN37294970	SRR25921258	PRJNA1013236	V3-V4	V3-V4
 SAMN37294971	SRR25921257	PRJNA1013236	V3-V4	V3-V4
 SAMN37294972	SRR25921256	PRJNA1013236	V3-V4	V3-V4
 SAMN37294973	SRR25921255	PRJNA1013236	V3-V4	V3-V4
 SAMN37294974	SRR25921254	PRJNA1013236	V3-V4	V3-V4
 SAMN37294975	SRR25921303	PRJNA1013236	V3-V4	V3-V4
 SAMN37294976	SRR25921302	PRJNA1013236	V3-V4	V3-V4
 SAMN37294977	SRR25921301	PRJNA1013236	V3-V4	V3-V4
 SAMN37294978	SRR25921300	PRJNA1013236	V3-V4	V3-V4
 SAMN37294979	SRR25921299	PRJNA1013236	V3-V4	V3-V4
 SAMN37294980	SRR25921298	PRJNA1013236	V3-V4	V3-V4
 SAMN37294981	SRR25921297	PRJNA1013236	V3-V4	V3-V4
 SAMN37294982	SRR25921296	PRJNA1013236	V3-V4	V3-V4
 SAMN37294983	SRR25921295	PRJNA1013236	V3-V4	V3-V4
 SAMN37294984	SRR25921294	PRJNA1013236	V3-V4	V3-V4
 SAMN37294985	SRR25921292	PRJNA1013236	V3-V4	V3-V4
 SAMN37294986	SRR25921291	PRJNA1013236	V3-V4	V3-V4
 SAMN37294987	SRR25921290	PRJNA1013236	V3-V4	V3-V4
 SAMN37294988	SRR25921289	PRJNA1013236	V3-V4	V3-V4
 SAMN37294989	SRR25921288	PRJNA1013236	V3-V4	V3-V4
 SAMN37294990	SRR25921287	PRJNA1013236	V3-V4	V3-V4
 SAMN37294991	SRR25921286	PRJNA1013236	V3-V4	V3-V4
 SAMN37294992	SRR25921285	PRJNA1013236	V3-V4	V3-V4
 SAMN37294993	SRR25921284	PRJNA1013236	V3-V4	V3-V4
 SAMN37294994	SRR25921283	PRJNA1013236	V3-V4	V3-V4
 SAMN37294995	SRR25921281	PRJNA1013236	V3-V4	V3-V4
 SAMN37294996	SRR25921280	PRJNA1013236	V3-V4	V3-V4
 SAMN37294997	SRR25921279	PRJNA1013236	V3-V4	V3-V4
 SAMN37294998	SRR25921278	PRJNA1013236	V3-V4	V3-V4
 SAMN37294999	SRR25921277	PRJNA1013236	V3-V4	V3-V4
 SAMN37295000	SRR25921276	PRJNA1013236	V3-V4	V3-V4
 SAMN37295001	SRR25921275	PRJNA1013236	V3-V4	V3-V4
 SAMN37295002	SRR25921274	PRJNA1013236	V3-V4	V3-V4
 SAMN37295003	SRR25921273	PRJNA1013236	V3-V4	V3-V4
 SAMN37295004	SRR25921272	PRJNA1013236	V3-V4	V3-V4
 SAMN37295005	SRR25921253	PRJNA1013236	V3-V4	V3-V4
 SAMN37295006	SRR25921252	PRJNA1013236	V3-V4	V3-V4
 SAMN37295007	SRR25921251	PRJNA1013236	V3-V4	V3-V4
 SAMN37295008	SRR25921250	PRJNA1013236	V3-V4	V3-V4
 SAMN37295009	SRR25921249	PRJNA1013236	V3-V4	V3-V4
 SAMN37295010	SRR25921248	PRJNA1013236	V3-V4	V3-V4
 SAMN37295011	SRR25921247	PRJNA1013236	V3-V4	V3-V4
 SAMN37295012	SRR25921246	PRJNA1013236	V3-V4	V3-V4
 SAMN37295013	SRR25921245	PRJNA1013236	V3-V4	V3-V4
 SAMN37295014	SRR25921244	PRJNA1013236	V3-V4	V3-V4
 SAMN37295015	SRR25921242	PRJNA1013236	V3-V4	V3-V4
 SAMN37295016	SRR25921241	PRJNA1013236	V3-V4	V3-V4
 SAMN37295017	SRR25921240	PRJNA1013236	V3-V4	V3-V4
 SAMN37295018	SRR25921239	PRJNA1013236	V3-V4	V3-V4
 SAMN37295019	SRR25921238	PRJNA1013236	V3-V4	V3-V4
 SAMN37295020	SRR25921237	PRJNA1013236	V3-V4	V3-V4
 SAMN37295021	SRR25921236	PRJNA1013236	V3-V4	V3-V4
 SAMN37295022	SRR25921235	PRJNA1013236	V3-V4	V3-V4
 SAMN37295023	SRR25921234	PRJNA1013236	V3-V4	V3-V4
 SAMN37295024	SRR25921233	PRJNA1013236	V3-V4	V3-V4
 SAMN37295025	SRR25921231	PRJNA1013236	V3-V4	V3-V4
 SAMN37295026	SRR25921230	PRJNA1013236	V3-V4	V3-V4
 SAMN37295027	SRR25921229	PRJNA1013236	V3-V4	V3-V4
 SAMN37295028	SRR25921228	PRJNA1013236	V3-V4	V3-V4
 SAMN37295029	SRR25921227	PRJNA1013236	V3-V4	V3-V4
 SAMN37295030	SRR25921226	PRJNA1013236	V3-V4	V3-V4
 SAMN37295031	SRR25921225	PRJNA1013236	V3-V4	V3-V4
 SAMN37295032	SRR25921224	PRJNA1013236	V3-V4	V3-V4
 SAMN37295033	SRR25921223	PRJNA1013236	V3-V4	V3-V4
 SAMN37295034	SRR25921222	PRJNA1013236	V3-V4	V3-V4
 SAMN37295035	SRR25921156	PRJNA1013236	V3-V4	V3-V4
 SAMN37295036	SRR25921155	PRJNA1013236	V3-V4	V3-V4
 SAMN37295037	SRR25921154	PRJNA1013236	V3-V4	V3-V4
 SAMN37295038	SRR25921153	PRJNA1013236	V3-V4	V3-V4
 SAMN37295039	SRR25921152	PRJNA1013236	V3-V4	V3-V4
 SAMN37295040	SRR25921151	PRJNA1013236	V3-V4	V3-V4
 SAMN37295041	SRR25921150	PRJNA1013236	V3-V4	V3-V4
 SAMN37295042	SRR25921149	PRJNA1013236	V3-V4	V3-V4
 SAMN37295043	SRR25921148	PRJNA1013236	V3-V4	V3-V4
 SAMN37295044	SRR25921147	PRJNA1013236	V3-V4	V3-V4
 SAMN37295045	SRR25921145	PRJNA1013236	V3-V4	V3-V4
 SAMN37295046	SRR25921144	PRJNA1013236	V3-V4	V3-V4
 SAMN37295047	SRR25921143	PRJNA1013236	V3-V4	V3-V4
 SAMN37295048	SRR25921142	PRJNA1013236	V3-V4	V3-V4
 SAMN37295049	SRR25921141	PRJNA1013236	V3-V4	V3-V4
 SAMN37295050	SRR25921140	PRJNA1013236	V3-V4	V3-V4
 SAMN37295051	SRR25921139	PRJNA1013236	V3-V4	V3-V4
 SAMN37295052	SRR25921138	PRJNA1013236	V3-V4	V3-V4
 SAMN37295053	SRR25921137	PRJNA1013236	V3-V4	V3-V4
 SAMN37295054	SRR25921136	PRJNA1013236	V3-V4	V3-V4
 SAMN37295055	SRR25921134	PRJNA1013236	V3-V4	V3-V4
